scope,arm,burden_group,n_design_rows,n_proteins,mean_delta_hotspot_q95,mean_delta_hotspot_q99,mean_delta_hotspot_max,mean_delta_hotspot_gt0p5_count,mean_delta_hotspot_gt1_count,mean_delta_hotspot_positive_mass,mean_delta_hotspot_excess_mass_gt0p5,mean_delta_positive_mass_top10_fraction,mean_delta_positive_mass_entropy_norm,mean_delta_positive_mass_gini,mean_delta_residue_z_q95,mean_delta_residue_z_max,mean_delta_residue_z_gt2_count
all50,t060,low_or_equal,200,25,-0.010718835353849022,-0.026343962204456242,-0.024320287704467772,0.88,0.265,11.967974747419357,11.710406695604325,-0.00034578748450002085,0.002826725854405435,-0.00225684954096121,0.01010961070489453,0.043265725798989664,0.025
all50,t060,high,200,25,-0.2970573470592514,-0.16171754016876225,-0.19579259395599366,-2.475,-2.675,-10.1734816467762,-9.32099414229393,0.0032599479517467556,-0.003078950727308794,0.00362342166160463,-0.04646347813201939,-0.006375433789722971,-0.105
all50,t075,low_or_equal,200,25,0.2061980549097083,0.21403777259588247,0.18620370864868163,1.995,2.805,19.573062093257903,18.966066937446595,-0.011396474133118497,0.005129021278664545,-0.006692794757840284,-0.05347367575416781,-0.06353704124872009,-0.86
all50,t075,high,200,25,-0.3440826555490507,-0.3463391284942628,-0.33406840085983275,-2.68,-2.435,-17.38115730047226,-16.57150974035263,-0.0020621299930723104,-0.0016878762254255181,0.0020767329006386383,-0.031614651125886566,0.018874324801633008,-0.105
tier2,t060,low_or_equal,144,18,-0.8046200199259621,-0.8872095028393798,-0.8506937854819827,1.1527777777777777,0.5486111111111112,-17.555776215261883,-18.166207103265656,-0.015125871964853972,0.008250088106619972,-0.008894007146135975,-0.05038993826403475,0.014227015892643,-0.4305555555555556
tier2,t060,high,136,17,0.29176736842183215,0.45305537202778956,0.4361874916974236,-2.5661764705882355,-3.6838235294117645,13.287984109976712,14.210111956386005,0.012774106186894252,-0.006757625505020638,0.00903719985813047,0.004694391205136281,0.03199780421284117,0.4411764705882353
tier2,t075,low_or_equal,144,18,-0.3282371795839709,-0.4095879910886288,-0.4150288535488976,0.7638888888888888,0.8958333333333334,-4.58825979464584,-5.0824860235055285,-0.02059416878476102,0.007431416310036229,-0.009910485717474084,-0.0926943618055381,-0.05576180438462566,-0.5972222222222222
tier2,t075,high,136,17,-0.08399473586503384,-0.14373009671183215,-0.12117118344587438,-0.8455882352941176,-0.5735294117647058,-3.6748196132042827,-3.283612072467804,-0.001610350515434596,-0.002239007066988735,0.0026941320693486277,-0.004985478241112477,0.01771926135206521,0.49264705882352944
