encoder_id,seed,epoch_to_best_pp_auc,best_pp_auc,last_pp_auc,best_to_last_pp_auc_drop
E0,42,6,0.8446532601247663,0.8273177467610525,0.01733551336371375
E0,43,4,0.8522835743168126,0.8223020457055258,0.02998152861128678
E0,44,6,0.860983913683373,0.8291047641440578,0.031879149539315255
E1,42,13,0.9707723732875742,0.9682747177455736,0.002497655542000543
E1,43,5,0.9704341004076211,0.9623160394637481,0.008118060943873018
E1,44,12,0.9733231132445128,0.9675193215193956,0.005803791725117247
E2,42,3,0.7518106166111387,0.6508095889838169,0.10100102762732177
E2,43,4,0.7737907031955926,0.6809710305609294,0.09281967263466318
E2,44,3,0.7631492697350357,0.6745047421882981,0.08864452754673757
