filter_idx,sharpness,norm,rank
212,3.970198726654053,15.094985008239746,0
141,3.8813886642456055,15.603204727172852,1
29,3.865031671524048,15.127002716064453,2
242,3.8469369888305662,14.991983413696289,3
171,3.8342452526092528,15.23023796081543,4
147,3.8024878978729246,15.85097599029541,5
149,3.798559141159058,15.855978965759277,6
184,3.7847365379333495,15.845882415771484,7
14,3.7628698348999023,14.918839454650879,8
63,3.7336888313293457,15.362696647644043,9
22,3.6865030765533446,15.84554672241211,10
233,3.677250289916992,16.270238876342773,11
44,3.664389228820801,15.513010025024414,12
113,3.65877480506897,16.722213745117188,13
135,3.6492526531219482,16.036376953125,14
208,3.6484892845153807,16.157079696655273,15
100,3.6381610870361327,15.211390495300293,16
70,3.6243953943252563,17.207733154296875,17
202,3.6242498397827148,16.260147094726562,18
18,3.6103036403656006,16.38369369506836,19
9,3.6099963188171387,16.2470703125,20
185,3.586310291290283,15.014435768127441,21
24,3.5830009460449217,15.224010467529297,22
193,3.5629299163818358,15.297840118408203,23
20,3.5616220474243163,15.904869079589844,24
6,3.5605637073516845,15.660944938659668,25
248,3.5591742038726806,15.477176666259766,26
28,3.556005573272705,15.93873405456543,27
136,3.5524105072021483,15.604486465454102,28
214,3.5475414752960206,15.465737342834473,29
1,3.5302510261535645,14.977580070495605,30
170,3.530182933807373,15.375286102294922,31
39,3.5286965370178223,16.119081497192383,32
221,3.5175240516662596,15.264403343200684,33
127,3.511315178871155,15.143709182739258,34
139,3.4868757247924806,15.203179359436035,35
252,3.4680013179779055,15.82484245300293,36
123,3.4674962520599366,15.297842025756836,37
152,3.4603878021240235,14.586630821228027,38
26,3.4581603050231933,15.092568397521973,39
219,3.4565641403198244,15.159934043884277,40
74,3.4549127578735352,15.76033878326416,41
68,3.4541810512542725,15.678037643432617,42
161,3.452631449699402,15.288416862487793,43
126,3.4521485805511474,16.313201904296875,44
210,3.44376745223999,15.09383773803711,45
165,3.44278769493103,15.560060501098633,46
19,3.4408363342285155,15.646491050720215,47
169,3.438993215560913,15.487543106079102,48
239,3.438278865814209,15.099335670471191,49
244,3.4353875160217284,16.360435485839844,50
82,3.4334878444671633,15.399652481079102,51
8,3.427641677856445,14.93085765838623,52
69,3.4276315689086916,15.970927238464355,53
33,3.4252390384674074,15.458901405334473,54
222,3.4195260524749758,13.97372055053711,55
65,3.416911578178406,15.055792808532715,56
36,3.415837812423706,15.51255989074707,57
140,3.415312576293945,15.558954238891602,58
79,3.4110058307647706,15.688366889953613,59
124,3.4092627286911013,14.660268783569336,60
151,3.4021198749542236,14.806438446044922,61
245,3.397184371948242,15.874149322509766,62
40,3.394857406616211,15.942606925964355,63
189,3.393773603439331,15.752519607543945,64
154,3.3914241790771484,15.449928283691406,65
145,3.3707796573638915,15.25925064086914,66
92,3.364239740371704,16.029726028442383,67
235,3.3640388011932374,15.14888858795166,68
134,3.3541380405426025,15.828237533569336,69
206,3.35388388633728,15.877269744873047,70
133,3.3501076221466066,14.982234954833984,71
32,3.349838066101074,15.83610725402832,72
56,3.34399037361145,15.081023216247559,73
118,3.338273620605469,15.604071617126465,74
47,3.3318907260894775,14.669598579406738,75
137,3.3247261524200438,16.392179489135742,76
41,3.3240800857543946,15.774227142333984,77
50,3.322311043739319,16.441274642944336,78
129,3.3193692922592164,16.490657806396484,79
98,3.3136173725128173,15.707929611206055,80
30,3.3026631832122804,15.162935256958008,81
155,3.300101375579834,15.838223457336426,82
67,3.2956555843353272,15.63023567199707,83
86,3.291409492492676,15.171399116516113,84
49,3.289232349395752,15.866015434265137,85
179,3.288584089279175,16.032136917114258,86
132,3.2874685287475587,15.859749794006348,87
168,3.2867953300476076,15.255839347839355,88
153,3.2769117832183836,15.790419578552246,89
183,3.2741074085235597,14.858896255493164,90
247,3.2603211641311645,14.882439613342285,91
25,3.2575590133666994,14.6305570602417,92
131,3.2529932022094727,15.199986457824707,93
108,3.2460545539855956,15.733633995056152,94
111,3.2381189823150636,15.298333168029785,95
48,3.238083577156067,15.095099449157715,96
106,3.2339111328125,15.374149322509766,97
84,3.232876348495483,15.662750244140625,98
61,3.2311563968658445,14.903584480285645,99
178,3.231048107147217,15.71667194366455,100
224,3.229922151565552,15.41988468170166,101
207,3.226980113983154,14.867326736450195,102
203,3.226353883743286,14.738018035888672,103
192,3.2260693073272706,14.023441314697266,104
52,3.2251461505889893,15.118985176086426,105
254,3.2249176025390627,16.189577102661133,106
218,3.2197662353515626,14.284830093383789,107
89,3.2185502529144285,14.920275688171387,108
31,3.217390775680542,15.366761207580566,109
114,3.217150115966797,15.603597640991211,110
102,3.204476261138916,14.572975158691406,111
250,3.2036705493927,15.416834831237793,112
75,3.202852201461792,14.93363094329834,113
191,3.2008341789245605,15.140642166137695,114
176,3.1984066009521483,15.558554649353027,115
228,3.1914336681365967,15.135960578918457,116
144,3.190271520614624,14.426172256469727,117
181,3.1866454124450683,15.528587341308594,118
16,3.1827372550964355,14.08171558380127,119
109,3.180670642852783,14.793112754821777,120
54,3.179388427734375,14.927229881286621,121
199,3.175969457626343,14.33132553100586,122
186,3.1712700843811037,15.67603588104248,123
158,3.170803499221802,15.268104553222656,124
27,3.1707505226135253,14.394580841064453,125
138,3.168934631347656,15.084223747253418,126
71,3.1572673320770264,15.853349685668945,127
255,3.155998373031616,14.935606002807617,128
105,3.1554273128509522,15.299727439880371,129
148,3.1538969039916993,15.663151741027832,130
87,3.147783708572388,14.810482025146484,131
62,3.1444431066513063,15.720194816589355,132
166,3.138972783088684,16.066608428955078,133
197,3.1350343227386475,15.77169418334961,134
35,3.1336199283599853,16.2486629486084,135
128,3.1332256317138674,14.248418807983398,136
232,3.133133554458618,15.572904586791992,137
159,3.131150722503662,15.614500999450684,138
175,3.1308481693267822,16.39488410949707,139
13,3.1280766487121583,15.14108657836914,140
119,3.1265682935714723,15.007437705993652,141
59,3.11904034614563,16.302839279174805,142
230,3.1190011978149412,16.31836700439453,143
187,3.1189431667327883,14.886502265930176,144
99,3.1172122955322266,15.717117309570312,145
4,3.1155514240264894,14.576220512390137,146
125,3.111053466796875,15.335487365722656,147
173,3.110754632949829,15.575122833251953,148
96,3.110086274147034,15.248705863952637,149
107,3.105874013900757,15.856526374816895,150
73,3.1046578168869017,14.537079811096191,151
17,3.1019805908203124,16.717304229736328,152
0,3.0997591495513914,14.908465385437012,153
238,3.0987786769866945,14.083075523376465,154
85,3.0981975555419923,13.543031692504883,155
104,3.0971052169799806,15.361114501953125,156
143,3.0924743890762327,15.401223182678223,157
156,3.0906436443328857,14.709090232849121,158
122,3.0899437427520753,15.041905403137207,159
157,3.0891777992248537,15.243633270263672,160
225,3.08118360042572,15.112866401672363,161
94,3.079576587677002,15.374919891357422,162
115,3.078561544418335,15.26422119140625,163
220,3.075752019882202,14.82034683227539,164
110,3.0744091510772704,14.994552612304688,165
11,3.0729160070419312,14.858196258544922,166
83,3.0719735622406006,15.574575424194336,167
12,3.071762800216675,14.898550033569336,168
146,3.0716092586517334,14.755050659179688,169
251,3.0656177282333372,15.139894485473633,170
231,3.058656406402588,15.121942520141602,171
10,3.05252423286438,14.536736488342285,172
116,3.0509785652160644,15.137347221374512,173
243,3.0507421016693117,15.570342063903809,174
45,3.0489511251449586,15.031269073486328,175
120,3.0457528114318846,14.336989402770996,176
150,3.045002794265747,16.276376724243164,177
15,3.0416901826858522,14.501298904418945,178
57,3.0344712495803834,15.24250316619873,179
188,3.031532049179077,14.40259838104248,180
117,3.02998743057251,14.159173965454102,181
162,3.029114866256714,15.317241668701172,182
217,3.02727689743042,15.189156532287598,183
90,3.027079677581787,14.392243385314941,184
91,3.011939001083374,15.217228889465332,185
60,3.006249523162842,14.761990547180176,186
34,3.0058852195739747,15.091328620910645,187
209,3.004049825668335,15.152021408081055,188
223,3.0028486251831055,14.629554748535156,189
53,3.001346778869629,15.835029602050781,190
58,3.0001429080963136,15.89727783203125,191
81,2.998325157165527,15.550591468811035,192
253,2.998045015335083,15.642123222351074,193
7,2.9863263845443724,15.276812553405762,194
37,2.985020160675049,15.677952766418457,195
198,2.9832129955291746,14.299038887023926,196
46,2.9789796352386473,14.358377456665039,197
130,2.975978231430054,15.524246215820312,198
240,2.972069025039673,14.762436866760254,199
229,2.9714279651641844,14.81427001953125,200
234,2.9710814714431764,15.692660331726074,201
23,2.968563461303711,16.633312225341797,202
172,2.9679578065872194,15.890470504760742,203
246,2.9673766136169433,14.89649772644043,204
241,2.960902547836304,15.063730239868164,205
200,2.959052324295044,15.03686237335205,206
72,2.9458752155303953,14.500385284423828,207
38,2.944022369384766,15.145246505737305,208
236,2.92597975730896,14.269743919372559,209
142,2.9213141202926636,13.940649032592773,210
112,2.919222331047058,14.503917694091797,211
121,2.916443347930908,15.446306228637695,212
196,2.9014269590377806,15.10325813293457,213
205,2.89414324760437,15.42830753326416,214
88,2.892396354675293,15.919650077819824,215
2,2.885420536994934,15.243111610412598,216
77,2.8783556699752806,14.936128616333008,217
76,2.8691575050354006,15.536090850830078,218
215,2.8632845878601074,15.284379959106445,219
101,2.860675001144409,14.790756225585938,220
93,2.859521722793579,15.31750774383545,221
42,2.850246858596802,15.163747787475586,222
43,2.8470949649810793,13.724555015563965,223
21,2.8400463104248046,14.459729194641113,224
78,2.8389041423797607,15.809211730957031,225
55,2.830647277832031,15.647743225097656,226
182,2.8292784214019777,14.047052383422852,227
95,2.824411678314209,15.789251327514648,228
195,2.8067373037338257,16.540546417236328,229
80,2.7924063205718994,14.966582298278809,230
227,2.7872137784957887,15.527823448181152,231
174,2.785829544067383,15.521003723144531,232
180,2.783074951171875,14.779956817626953,233
249,2.7626272678375243,14.713760375976562,234
103,2.7423844814300535,14.550700187683105,235
204,2.737630748748779,15.19001293182373,236
