protein_id,design_idx,spearman,pearson
1BI3_A,0,0.5643896935179177,0.08670793689692353
1BI3_A,1,0.6043106531946885,0.14384542922967794
1BI3_A,2,0.28434003826230203,0.02271623555223014
1BI3_A,3,0.15254043566519465,-0.019137829989499224
1BI3_A,4,0.26852638138069973,0.12255068801040517
1BI3_A,5,-0.0926534431753425,-0.2071220175268225
1BI3_A,6,0.43344210843168646,0.15009993921561265
1BI3_A,7,0.34735970427939145,0.4703932099940981
1L6J_A,0,0.3376608268362762,-0.046970180215426496
1L6J_A,1,0.316655376539296,0.8898802536944687
1L6J_A,2,0.503673311012601,0.7563735461845523
1L6J_A,3,0.33709048081494075,0.10066601198252259
1L6J_A,4,0.5221855518885222,0.6883354204595934
1L6J_A,5,0.07633013452746246,-0.06277959106283226
1L6J_A,6,0.31871925500323484,0.8508393378554883
1L6J_A,7,0.42628317667676946,0.6547949760198056
1O51_A,0,0.7472080354102826,0.9151695423902244
1O51_A,1,0.584595979669592,-0.10621115515796128
1O51_A,2,0.5718770389561972,0.1926851854907926
1O51_A,3,0.7206673476336398,0.12576341903067426
1O51_A,4,-0.3108591292142182,0.07202846330062902
1O51_A,5,0.906145726932244,0.9188146829561703
1O51_A,6,0.5692543411644536,-0.16863713284758194
1O51_A,7,0.8950119169220294,0.8646930257394089
1PZD_A,0,0.43878520810038485,0.489856555215976
1PZD_A,1,-0.14721712098914405,0.20883569687825743
1PZD_A,2,-0.017537710509737115,0.3306761072467763
1PZD_A,3,0.2442817851412722,0.41115352198528643
1PZD_A,4,0.5125224506647955,0.6099988121140275
1PZD_A,5,0.010184638412983319,0.3537893397762862
1PZD_A,6,0.38225869792811695,0.7585415139662333
1PZD_A,7,0.39060557475953467,0.67872096797802
1U6T_A,0,0.5002167727950142,0.0581558184355757
1U6T_A,1,0.2670261518849941,-0.1063622227094937
1U6T_A,2,0.36614680623749535,0.09346317655583007
1U6T_A,3,0.34587454274488544,-0.1995072299325657
1U6T_A,4,-0.09670776317572143,-0.044207133462842656
1U6T_A,5,0.43390535480578885,-0.0830038037532914
1U6T_A,6,0.7595244546809374,0.3865622250128139
1U6T_A,7,0.5464977645305513,0.3476223948200085
1V6X_A,0,0.7894009199206082,0.772602131054355
1V6X_A,1,0.4723882486967603,0.3695711917812584
1V6X_A,2,0.6722867115459075,0.733711818310346
1V6X_A,3,0.6482948468050368,0.5223933008488629
1V6X_A,4,0.7833523334407064,0.6780515578353714
1V6X_A,5,0.6057535021400978,0.5087162670718984
1V6X_A,6,0.6943405558875142,0.6888333235527476
1V6X_A,7,0.7945632137719512,0.787493406214231
1VF7_J,0,0.0384740926222875,-0.06123864216242315
1VF7_J,1,0.2549992232782341,0.2369597790605107
1VF7_J,2,0.22444643279902696,0.27391664672131244
1VF7_J,3,0.5563377253724268,0.2273493850848803
1VF7_J,4,0.34212439529541877,-0.15148260726349524
1VF7_J,5,0.5578781439037066,0.47476304261244706
1VF7_J,6,0.20922062182138804,0.5969057212162439
1VF7_J,7,-0.0029811461462186145,-0.2730240694512592
1WZE_B,0,0.6365296703093084,0.8454083441310404
1WZE_B,1,0.5757396615301235,0.7841076611223328
1WZE_B,2,0.6070711781305284,0.7090863466534713
1WZE_B,3,0.5212920346913381,0.7784403330468811
1WZE_B,4,0.6599127242749941,0.7220265128919536
1WZE_B,5,0.6332753595703811,0.7901061419780774
1WZE_B,6,0.8961513129784999,0.9032946236055291
1WZE_B,7,0.6942510716728723,0.8096854263924106
1YB0_C,0,0.13097670072085368,-0.09856336444479541
1YB0_C,1,0.8049785138027904,0.6808809204007051
1YB0_C,2,0.5305199083110105,0.11710910690977948
1YB0_C,3,0.7000324845751321,0.7008144222010514
1YB0_C,4,0.6548075265430839,0.8876162816408562
1YB0_C,5,0.6014403095347856,0.7737049850164489
1YB0_C,6,0.37855212444284125,0.03203531377421929
1YB0_C,7,0.6624139727321221,0.23309103914844834
1ZR3_A,0,0.1265268550784821,0.03540111448444583
1ZR3_A,1,0.15209335618500167,-0.14373920908948634
1ZR3_A,2,-0.3494726300522225,-0.08752875908143383
1ZR3_A,3,-0.14924968145206338,-0.14851835670957717
1ZR3_A,4,0.10594402968376973,-0.09916424239662935
1ZR3_A,5,-0.22716726344533572,-0.03228637241576386
1ZR3_A,6,-0.48807896463809447,-0.39129433243684386
1ZR3_A,7,0.11072392365815292,0.09646214826199258
