protein_id,seq_len,spearman_davg,pearson_davg
5ELD_B,103,-0.1892509605988687,-0.08752049997074607
1ZR3_A,186,-0.11642094299519794,-0.13004027517465924
5QKA_D,190,0.17864086502817672,0.4673166862652071
6T06_B,164,0.18246280980271112,0.026744872569538725
1PZD_A,271,0.21110228946598844,0.6226682570588714
6HGM_A,330,0.2496940587194092,0.20071653303804488
7TN4_A,134,0.2521004002543673,0.4516445518896671
7W62_F,140,0.2555068980512244,0.33171018230035265
4N35_A,128,0.25964534007916995,0.4123006341449708
1VF7_J,235,0.33744541275296586,0.28530148613997053
9LD6_A,179,0.36245760353604656,0.22328767708119712
6T10_B,155,0.3750889305144216,-0.008194017891233932
6NQK_F,215,0.3792347011624159,0.7987970956531383
2QHL_E,110,0.38323377589432633,-0.017289962680991443
7R6O_A,273,0.3910677128796493,0.3297751386879059
5VE2_B,251,0.4033385304047566,0.6209124986946842
1L6J_A,405,0.405972025774006,0.7095574591972671
6LN0_A,425,0.41658654521544203,0.7351357051620556
6DNB_A,411,0.4227464821597404,0.3047734858825287
6W6B_A,233,0.42601229050413075,0.6171132930525545
1O51_A,89,0.45054477357848155,0.48459211796166757
2YN5_A,283,0.46114601042697245,0.44933892717998314
2QLZ_C,213,0.46734161484056364,0.561991807055714
3U79_D,110,0.4673662959553644,0.4283078323680236
1BI3_A,212,0.48543249121843646,0.15385637167480223
6TN1_AAA,497,0.5027860183724664,0.43772863198214135
3T9G_B,195,0.5209657398018439,0.7730853645391262
5UUC_A,316,0.5412413069749872,0.40794506074860976
1U6T_A,121,0.5579934968161494,0.22216501411624426
6TQD_C,204,0.5706260616533427,0.6945078219815627
3KGU_B,115,0.5774244456719009,-0.004049939475829105
9RN0_A,331,0.5994023467322482,0.5193787101305454
5JVA_C,225,0.6009652703225358,0.46868059137647233
7FCT_B,239,0.6045000928216978,0.7395775370412269
4QYA_A,116,0.6135932033983009,0.7961369558017531
3FKD_B,325,0.6219251376177389,0.6448405183963953
6VJP_B,153,0.6421621487448853,0.8205980913229034
4KTN_A,193,0.6557778384981164,0.8759239724710718
5UHZ_A,342,0.6871411737688831,0.8621149743681759
5QJQ_B,194,0.7057326431990354,0.6391130948743725
4IK7_A,116,0.7235612962749395,0.7679385399716392
3JXF_A,268,0.726812945847078,0.6474521277064262
4ZNO_A,318,0.7318086163944231,0.8441924444957973
4C8E_C,161,0.7345530798112525,0.7704833429838176
1YB0_C,157,0.7441363933166405,0.6942640091345196
2EFO_A,150,0.7510400517821484,0.8249185249080361
1WZE_B,327,0.7736714876734995,0.8470358303683196
1V6X_A,436,0.7880448187608422,0.7517249572341153
8TG4_A,182,0.8132737751548056,0.9100163270449627
5L4J_B,115,0.8235066677187722,0.6939581931779961
