scope,arm,burden_group,threshold_nod_pp_hotspot_coverage,n_proteins,n_design_rows,mean_nod_hotspot_coverage,mean_d3_hotspot_coverage,mean_delta_hotspot_coverage,median_delta_hotspot_coverage,design_hotspot_coverage_improved_fraction,protein_hotspot_coverage_improved_fraction,mean_delta_n_hotspot_positions,mean_delta_mean_hotspot,mean_delta_max_hotspot,mean_delta_n_strong_binders,design_nmp_strong_improved_fraction,mean_delta_scTM,scTM_preserved_fraction_delta_ge_minus_0p05
all50,t060,low_or_equal,0.37566800531242095,25,200,0.34308970325753135,0.34590335658359433,0.0028136533260630483,0.0,0.48,0.52,0.88,-0.01621194191626273,-0.024320287704467772,2.315,0.44,0.0016247499999999975,0.93
all50,t060,high,0.37566800531242095,25,200,0.4114049672569926,0.4012721322575139,-0.010132834999478724,-0.006476368361214874,0.52,0.56,-2.475,-0.06572466343641281,-0.19579259395599366,-2.825,0.51,0.0011202000000000035,0.96
all50,t075,low_or_equal,0.37566800531242095,25,200,0.34308970325753135,0.3550188470778949,0.01192914382036351,0.010203875247765032,0.43,0.32,1.995,0.007603002023533918,0.18620370864868163,1.77,0.445,0.002275349999999998,0.935
all50,t075,high,0.37566800531242095,25,200,0.4114049672569926,0.4005937795769415,-0.010811187680051102,-0.010215053763440868,0.56,0.64,-2.68,-0.015655678268522023,-0.33406840085983275,-6.265,0.515,0.0007053000000000051,0.965
tier2,t060,low_or_equal,0.3768656716417911,18,144,0.3492124202711089,0.35309967042700474,0.0038872501558958683,0.0,0.4930555555555556,0.5,1.1527777777777777,-0.10451455917953151,-0.8506937854819827,-2.3680555555555554,0.4861111111111111,0.0021265972222222203,0.9236111111111112
tier2,t060,high,0.3768656716417911,17,136,0.4119224502347144,0.4002126169187444,-0.011709833315970055,-0.011337606388567817,0.5367647058823529,0.5294117647058824,-2.5661764705882355,0.05899167844258687,0.4361874916974236,-1.9485294117647058,0.5073529411764706,0.0002955882352941226,0.9485294117647058
tier2,t075,low_or_equal,0.3768656716417911,18,144,0.3492124202711089,0.3567439288323679,0.007531508561258966,0.0,0.4652777777777778,0.3888888888888889,0.7638888888888888,-0.045892608136960514,-0.4150288535488976,-1.5555555555555556,0.4861111111111111,0.0021615972222222193,0.9305555555555556
tier2,t075,high,0.3768656716417911,17,136,0.4119224502347144,0.40397977947979474,-0.007942670754919685,-0.010215053763440868,0.5514705882352942,0.5882352941176471,-0.8455882352941176,0.07164140407215147,-0.12117118344587438,-8.029411764705882,0.5441176470588235,-0.00054397058823529,0.9485294117647058
